Iteration,readAccel,readGyro,getClickSense,getClickBLE,applyCalibration,sensorFusion,mouseMove,ax,ay,dx,dy
441,949,917,28,0,17,13,304,0.19,0,10,0
442,947,913,26,0,17,12,305,0.2,0,10,0
443,945,912,28,0,18,13,304,-0.1,0,7,0
444,949,913,27,1,17,13,313,0,0,5,0
445,928,930,26,1,18,13,295,0,-0.13,4,-1
446,946,912,26,1,17,12,307,0,-0.13,3,-1
447,945,912,28,1,17,13,305,0.27,-0.22,5,-3
448,942,912,26,1,17,12,305,-0.15,0,2,-2
449,960,918,29,1,17,13,311,0.26,0,4,-2
450,945,912,25,0,18,13,306,0.24,0,5,-1
451,967,923,29,1,17,12,303,0,0,4,-1
452,927,909,24,0,18,13,296,-0.23,0,1,-1
453,966,928,30,1,18,10,313,0,0,0,0
454,928,909,24,0,18,9,296,0,0,0,0
455,949,915,27,0,18,10,293,0,0,0,0
456,927,909,24,0,18,10,296,0,0,0,0
457,946,912,26,0,18,10,294,0,0,0,0
458,929,909,24,0,18,10,304,0,0,0,0
459,930,910,26,0,20,10,325,0,0,0,0
460,928,909,24,0,18,10,296,0,0,0,0
461,930,924,27,1,18,10,319,0,0,0,0
462,944,912,24,1,18,12,304,0,0,0,0
463,930,909,26,1,17,12,301,0,-0.21,0,-1
464,963,915,26,0,18,13,306,0.3,0.76,2,4
465,941,912,29,1,20,13,327,0.12,0.18,2,5
466,943,912,25,0,18,13,302,0,0,2,4
467,933,909,27,0,18,13,305,0,0,1,3
468,927,925,24,0,17,12,342,0,0,1,2
469,930,909,27,1,18,13,294,0,0,1,2
470,927,929,28,1,19,13,313,0,0,0,1
471,931,910,26,0,18,13,305,0.1,0,1,1
472,945,912,26,3,17,13,335,0,0,1,1
473,931,909,26,1,18,13,297,0,0,1,0
474,927,925,25,1,18,14,329,0,0,0,0
475,930,909,27,1,17,12,298,0,0,0,0
476,930,910,24,0,18,12,304,0,0,0,0
477,930,909,27,1,17,11,296,0,0,0,0
478,928,909,24,1,17,11,295,0,0,0,0
479,930,909,27,1,18,12,296,0,0,0,0
480,929,909,24,0,17,11,305,0,0,0,0
481,930,909,27,1,17,11,294,0,0,0,0
482,927,909,24,1,17,13,295,-0.13,-0.1,-1,0
483,942,912,28,1,17,13,304,0,-0.79,0,-6
484,946,913,26,1,17,13,304,0,-0.1,0,-6
485,946,912,29,1,18,13,313,0.11,0,0,-5
486,955,915,25,1,18,13,304,0.11,0,0,-4
487,945,912,27,0,17,12,305,0,0,0,-3
488,942,909,24,0,17,13,300,0.13,0,1,-2
489,946,912,29,612,20,19,289,-0.3,0.42,-1,1
490,941,912,26,0,18,14,304,0.16,-0.21,0,0
491,942,912,26,0,17,12,306,0,-0.11,0,-1
492,946,912,27,1,17,12,304,0,0,0,-1
493,931,910,25,1,18,13,307,0.12,0,0,0
494,963,927,28,1,18,13,304,0,0,0,0
495,928,909,24,1,17,12,296,0,0,0,0
496,931,909,26,1,17,12,295,0,-0.1,0,0
497,944,912,24,1,17,12,304,0,-0.17,0,-2
498,949,927,29,0,18,12,333,0.12,0,0,-1
499,945,912,25,1,17,13,305,0.15,0,1,-1
500,947,925,31,1,17,12,313,0,0,1,-1
501,936,909,24,1,17,13,297,0.1,0,2,0
502,949,913,27,1,18,13,335,0,-0.11,1,-1
503,964,927,25,1,17,12,305,0,0,1,-1
504,931,922,30,1,21,13,315,0,0,1,0
505,942,911,24,1,18,13,296,0.13,0,1,0
506,948,927,29,0,18,13,313,0.12,0,2,0
507,946,914,26,1,17,13,322,0.14,0,3,0
508,947,913,28,1,17,12,307,0,0,2,0
509,928,920,24,1,17,13,321,-0.11,-0.11,1,0
510,942,912,29,1,18,13,312,-0.16,-0.17,0,-2
511,943,912,27,1,17,12,315,0.14,0,1,-1
512,947,913,29,1,18,13,309,0.15,0,2,-1
513,945,913,26,0,17,13,329,0.17,0,2,-1
514,947,913,29,1,17,13,306,0.15,0,3,0
515,945,926,29,1,18,13,331,0.12,0,3,0
516,949,913,28,1,17,12,312,0,0,3,0
517,928,910,24,1,18,12,295,0,0,2,0
518,930,909,27,1,17,12,296,0,0,1,0
519,927,909,24,0,18,12,295,0,0,1,0
